"year","zone","dataCollectionTime","group","measure","value"
"2004","S01001790","6 To 8 Week Review","Breastfed","Count",3
"2004","S01001790","6 To 8 Week Review","Breastfed","Ratio",50
"2005","S01001790","6 To 8 Week Review","Breastfed","Ratio",40
"2012","S01001790","First Visit","Breastfed","Count",3
"2007","S01001790","First Visit","Breastfed","Count",3
"2006","S01001790","6 To 8 Week Review","Breastfed","Ratio","71.4"
"2008","S01001790","6 To 8 Week Review","Breastfed","Count",5
"2007","S01001790","6 To 8 Week Review","Breastfed","Ratio",20
"2008","S01001790","6 To 8 Week Review","Breastfed","Ratio","83.3"
"2003","S01001790","6 To 8 Week Review","Breastfed","Count",4
"2007","S01001790","6 To 8 Week Review","Breastfed","Count",1
"2009","S01001790","6 To 8 Week Review","Breastfed","Ratio",100
"2010","S01001790","6 To 8 Week Review","Breastfed","Ratio",100
"2008","S01001790","First Visit","Breastfed","Count",5
"2006","S01001790","First Visit","Breastfed","Count",5
"2011","S01001790","6 To 8 Week Review","Breastfed","Ratio","85.7"
"2004","S01001790","First Visit","Breastfed","Count",3
"2012","S01001790","6 To 8 Week Review","Breastfed","Ratio",75
"2013","S01001790","6 To 8 Week Review","Breastfed","Ratio",75
"2006","S01001790","6 To 8 Week Review","Breastfed","Count",5
"2003","S01001790","6 To 8 Week Review","Breastfed","Ratio","66.7"
"2011","S01001790","6 To 8 Week Review","Breastfed","Count",6
"2009","S01001790","6 To 8 Week Review","Breastfed","Count",9
"2002","S01001790","6 To 8 Week Review","Breastfed","Ratio",50
"2001","S01001790","6 To 8 Week Review","Breastfed","Ratio",100
"2012","S01001790","6 To 8 Week Review","Breastfed","Count",3
"2001","S01001790","First Visit","Breastfed","Ratio",100
"2003","S01001790","First Visit","Breastfed","Count",4
"2004","S01001790","First Visit","Breastfed","Ratio",50
"2011","S01001790","First Visit","Breastfed","Count",6
"2002","S01001790","6 To 8 Week Review","Breastfed","Count",1
"2005","S01001790","First Visit","Breastfed","Ratio",60
"2002","S01001790","First Visit","Breastfed","Ratio",50
"2001","S01001790","First Visit","Breastfed","Count",4
"2006","S01001790","First Visit","Breastfed","Ratio","71.4"
"2009","S01001790","First Visit","Breastfed","Count",9
"2011","S01001790","First Visit","Breastfed","Ratio","85.7"
"2001","S01001790","6 To 8 Week Review","Breastfed","Count",4
"2013","S01001790","6 To 8 Week Review","Breastfed","Count",6
"2012","S01001790","First Visit","Breastfed","Ratio",75
"2007","S01001790","First Visit","Breastfed","Ratio",60
"2005","S01001790","First Visit","Breastfed","Count",3
"2008","S01001790","First Visit","Breastfed","Ratio","83.3"
"2013","S01001790","First Visit","Breastfed","Count",6
"2010","S01001790","First Visit","Breastfed","Count",7
"2003","S01001790","First Visit","Breastfed","Ratio","66.7"
"2005","S01001790","6 To 8 Week Review","Breastfed","Count",2
"2009","S01001790","First Visit","Breastfed","Ratio",100
"2010","S01001790","6 To 8 Week Review","Breastfed","Count",7
"2013","S01001790","First Visit","Breastfed","Ratio",75
"2010","S01001790","First Visit","Breastfed","Ratio",100
"2002","S01001790","First Visit","Breastfed","Count",1
"2001","S01001790","First Visit","Exclusively Breastfed","Count",4
"2004","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2004","S01001790","First Visit","Exclusively Breastfed","Count",3
"2007","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2011","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2005","S01001790","First Visit","Exclusively Breastfed","Count",2
"2002","S01001790","First Visit","Exclusively Breastfed","Count",1
"2008","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2006","S01001790","First Visit","Exclusively Breastfed","Count",5
"2012","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2011","S01001790","First Visit","Exclusively Breastfed","Count",6
"2013","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2005","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2012","S01001790","First Visit","Exclusively Breastfed","Count",3
"2007","S01001790","First Visit","Exclusively Breastfed","Count",3
"2003","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2008","S01001790","First Visit","Exclusively Breastfed","Count",5
"2006","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2009","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2003","S01001790","First Visit","Exclusively Breastfed","Count",4
"2002","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2009","S01001790","First Visit","Exclusively Breastfed","Count",8
"2001","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2013","S01001790","First Visit","Exclusively Breastfed","Count",5
"2010","S01001790","First Visit","Exclusively Breastfed","Count",7
"2010","S01001790","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2004","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2005","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio",20
"2006","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio","57.1"
"2007","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio",20
"2008","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio","83.3"
"2009","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio","55.6"
"2010","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio","85.7"
"2011","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio","85.7"
"2012","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2013","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio","62.5"
"2003","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2002","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2001","S01001790","6 To 8 Week Review","Exclusively Breastfed","Ratio",100
"2001","S01001790","First Visit","Exclusively Breastfed","Ratio",100
"2004","S01001790","First Visit","Exclusively Breastfed","Ratio",50
"2005","S01001790","First Visit","Exclusively Breastfed","Ratio",40
"2002","S01001790","First Visit","Exclusively Breastfed","Ratio",50
"2006","S01001790","First Visit","Exclusively Breastfed","Ratio","71.4"
"2011","S01001790","First Visit","Exclusively Breastfed","Ratio","85.7"
"2012","S01001790","First Visit","Exclusively Breastfed","Ratio",75
"2007","S01001790","First Visit","Exclusively Breastfed","Ratio",60
"2008","S01001790","First Visit","Exclusively Breastfed","Ratio","83.3"
"2003","S01001790","First Visit","Exclusively Breastfed","Ratio","66.7"
"2009","S01001790","First Visit","Exclusively Breastfed","Ratio","88.9"
"2013","S01001790","First Visit","Exclusively Breastfed","Ratio","62.5"
"2010","S01001790","First Visit","Exclusively Breastfed","Ratio",100
"2001","S01001791","First Visit","Exclusively Breastfed","Count",2
"2003","S01001791","6 To 8 Week Review","Breastfed","Count",2
"2004","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2004","S01001791","First Visit","Exclusively Breastfed","Count",1
"2007","S01001791","First Visit","Breastfed","Count",1
"2005","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2004","S01001791","6 To 8 Week Review","Breastfed","Count",2
"2005","S01001791","First Visit","Exclusively Breastfed","Count",3
"2011","S01001791","First Visit","Breastfed","Count",5
"2010","S01001791","6 To 8 Week Review","Breastfed","Count",4
"2006","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2002","S01001791","First Visit","Exclusively Breastfed","Count",5
"2008","S01001791","First Visit","Breastfed","Count",3
"2012","S01001791","6 To 8 Week Review","Breastfed","Count",0
"2006","S01001791","First Visit","Breastfed","Count",5
"2012","S01001791","First Visit","Breastfed","Count",0
"2007","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2008","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2004","S01001791","First Visit","Breastfed","Count",1
"2006","S01001791","First Visit","Exclusively Breastfed","Count",5
"2008","S01001791","6 To 8 Week Review","Breastfed","Count",3
"2013","S01001791","6 To 8 Week Review","Breastfed","Count",2
"2009","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2013","S01001791","First Visit","Breastfed","Count",5
"2011","S01001791","First Visit","Exclusively Breastfed","Count",5
"2010","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2002","S01001791","6 To 8 Week Review","Breastfed","Count",5
"2006","S01001791","6 To 8 Week Review","Breastfed","Count",4
"2012","S01001791","First Visit","Exclusively Breastfed","Count",0
"2007","S01001791","First Visit","Exclusively Breastfed","Count",0
"2011","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2009","S01001791","6 To 8 Week Review","Breastfed","Count",3
"2008","S01001791","First Visit","Exclusively Breastfed","Count",3
"2012","S01001791","6 To 8 Week Review","Exclusively Breastfed","Count",0
"2009","S01001791","First Visit","Breastfed","Count",4
"2003","S01001791","First Visit","Breastfed","Count",3
"2005","S01001791","First Visit","Breastfed","Count",3
